publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Streets, Districts and Hospitals.",St. Mary's Hospital,Paddington Workhouse,Lock Hospital,"Praed Street, including (1)",Harrow Road & N.W. Road (2),Hall Park District (3),Amberley Road District (4),Kilburan District (5),Claredon Street,Woodchester Street,Cirencester Street,Brindley Street,"Hampden Street, &c. (6)","Westbourne Terrace North, &c. (7)","Woodfield Road, &c.(8)","Moscow Road,Salem Gardens,&c.(9)",Squares and Mansions (10),"Other Places,including (11)","Other Places, including (11)",Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, & c.",..,..,..,1,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955200,1869,Page 004,B19955200,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1869.b19955200.xml/10199552001000048.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Weeks. ending,Oct. 2.,„ 9.,„ 16.,„ 23.,„ 30.,Nov. 6.,„ 13.,",, 20.",„ 27.,Dec. 4.,„ 11.,„ 18,„ 25,Jan. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, Quinsy & Croup.",...,...,1,1,...,...,...,...,1,...,...,...,1,...,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955200,1869,Page 005,B19955200,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1869.b19955200.xml/10199552001010049.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Streets, Districts and Hospitals.",St. Mary's Hospital,Paddington Workhouse,Lock Hospital,"PraedStreet & S.Wharf-Rd.District, including (1)","Harrow-Rd & N. Wharf-Rd.District, including (No. 2)","Hall Park and adjoining Streets, including (3)","Amberly-Rd District, including (4)","Kilburn District, including (5)",Clarendon Street,Woodchester Street,Cirencester Street,"Hampden Street, including (6)",Brindley Street,"Westbourne-Ter. North and Streets, including (7)","Woodfield-Rd. District, including(8)","Moscow-Rd.&SalemGardensDistrict, including (9)",Mansions and Squares (10),"Mews, including (11)","All other Places, including (12)",Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, &c.",..,..,..,..,..,2,..,1,..,..,..,..,..,..,..,..,..,3,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955522,1864,Page 022,B19955522,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1864.b19955522.xml/10199555200260012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90to100,Totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,1,-,-,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955522,1864,Page 023,B19955522,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1864.b19955522.xml/10199555200270013.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to6,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 60,90 to 100,Totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955522,1864,Page 024,B19955522,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1864.b19955522.xml/10199555200280014.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,Totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955546,1866,Page 022,B19955546,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1866.b19955546.xml/10199555400260015.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 Years,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,Totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,—,1,-,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955546,1866,Page 024,B19955546,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1866.b19955546.xml/10199555400280017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,1,—,—,-,—,-,—,—,—,—,-,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955546,1866,Page 026,B19955546,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1866.b19955546.xml/10199555400300019.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to 5,6 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,2,2,—,—,—,—,—,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B19955558,1867,Page 024,B19955558,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1867.b19955558.xml/10199555500320016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,1,—,-,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B1995556X,1868,Page 026,B1995556X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1868.b1995556x.xml/10199555600300022.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 Years of Age.,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,I Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,...,...,1,...,...,...,...,...,...,...,...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B1995556X,1868,Page 029,B1995556X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1868.b1995556x.xml/10199555600330025.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years of age.,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80to90,90 to 100,Total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,...,...,1,...,...,...,...,...,...,...,...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherhithe,B1995556X,1868,Page 030,B1995556X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Rotherhithe.1868.b1995556x.xml/10199555600340026.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diseases.,Under 2 years of age.,2 to 5,5 to 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,100 to 110,ToTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,...,...,2,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camberwell,B19952892,1860,Page 025,B19952892,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1860.b19952892.xml/10199528900240005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dulwich,Camberwell,Peckham,St. George,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,5,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Camberwell, St. Giles",B19875435,1861,Page VII,B19875435,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1861.b19875435.xml/10198754300060005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dulwich,Camberwell,Peckham,St. George's,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,6,16,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camberwell,B19952909,1861,Page 029,B19952909,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1861.b19952909.xml/10199529000300006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carnberwell,Peckham,St. George's,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,6,16,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Camberwell, St. Giles",B19875459,1863,Page 033,B19875459,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1863.b19875459.xml/10198754500340004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Deaths in Camberwell, per 10,000.","Deaths in Peckham, per 10,000.","Deaths in London, per 10000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,3.5,3.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camberwell,B19952922,1863,Page 033,B19952922,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1863.b19952922.xml/10199529200350002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Deaths in Cam -berwell, per 10,000.","Deaths in Peckham, per 10,000.","Deaths in London, per 10000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Diphtheria,3.5,3.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camberwell,B19952922,1863,Page 033,B19952922,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StGilesCamberwell.1863.b19952922.xml/10199529200350002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Small Pox,Fever,Scarlet Fever,Diphtheria,Measles,Hooping Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251456,1868,Page 003,B18251456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StPancras.1868.b18251456.xml/10182514500020000.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,0.16,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251468,1869,Page 004,B18251468,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/StPancras.1869.b18251468.xml/10182514600030000.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London,St. Panoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250336,1860,Page 013,B18250336,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1860.b18250336.xml/10182503300120002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1856,1857,1858,1859,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250348,1861,Page 011,B18250348,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1861.b18250348.xml/10182503400100001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1856,1857,1858,1859,1860,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250361,1863,Page 011,B18250361,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1863.b18250361.xml/10182503600100001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1856,1857,1858,1859,1860,1861,1862,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250373,1864,Page 011,B18250373,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1864.b18250373.xml/10182503700100001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1856,1857,1858,1859,1860,1861,1862,1863,1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,1,1,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250385,1865,Page 012,B18250385,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1865.b18250385.xml/10182503800110001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250397,1866,Page 014,B18250397,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1866.b18250397.xml/10182503900150002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,1,1,5,1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250403,1867,Page 017,B18250403,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1867.b18250403.xml/10182504000160001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,3,1,1,5,1,6,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250403,1867,Page 023,B18250403,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1867.b18250403.xml/10182504000220004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Years.,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,0,0,0,0,9,13,3,1,2,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250415,1868,Page 017,B18250415,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1868.b18250415.xml/10182504100160001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1858,1859,1860,1861,1862,1863,1861,1865,1866,1867,1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,3,1,1,5,1,6,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250427,1869,Page 018,B18250427,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Wandsworth.1869.b18250427.xml/10182504200190002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,3,1,1,5,1,6,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
